#image_name, actual, predicted, score
7_img_23528.jpg, 7, 7, pass
4_img_28858.jpg, 4, 4, pass
7_img_117.jpg, 7, 7, pass
6_img_2165.jpg, 6, 6, pass
0_img_37993.jpg, 0, 3, fail
1_img_10445.jpg, 1, 3, fail
6_img_27202.jpg, 6, 6, pass
0_img_21129.jpg, 0, 3, fail
9_img_32425.jpg, 9, 9, pass
0_img_8460.jpg, 0, 3, fail
1_img_9030.jpg, 1, 1, pass
7_img_26487.jpg, 7, 7, pass
9_img_28864.jpg, 9, 9, pass
6_img_25373.jpg, 6, 6, pass
7_img_32800.jpg, 7, 7, pass
2_img_23925.jpg, 2, 2, pass
5_img_30965.jpg, 5, 5, pass
4_img_8892.jpg, 4, 1, fail
9_img_26685.jpg, 9, 9, pass
5_img_9781.jpg, 5, 5, pass
7_img_27216.jpg, 7, 7, pass
7_img_36482.jpg, 7, 7, pass
6_img_14145.jpg, 6, 6, pass
3_img_39955.jpg, 3, 3, pass
2_img_26120.jpg, 2, 2, pass
8_img_12252.jpg, 8, 0, fail
2_img_9971.jpg, 2, 2, pass
3_img_23702.jpg, 3, 3, pass
6_img_4514.jpg, 6, 6, pass
9_img_24045.jpg, 9, 3, fail
0_img_36131.jpg, 0, 3, fail
7_img_29993.jpg, 7, 1, fail
0_img_5636.jpg, 0, 3, fail
9_img_14810.jpg, 9, 9, pass
7_img_856.jpg, 7, 7, pass
8_img_39941.jpg, 8, 8, pass
7_img_41178.jpg, 7, 7, pass
4_img_467.jpg, 4, 1, fail
1_img_30756.jpg, 1, 3, fail
0_img_10653.jpg, 0, 3, fail
3_img_16752.jpg, 3, 3, pass
2_img_37987.jpg, 2, 2, pass
5_img_2367.jpg, 5, 5, pass
4_img_28870.jpg, 4, 4, pass
3_img_2830.jpg, 3, 3, pass
7_img_7753.jpg, 7, 7, pass
8_img_24247.jpg, 8, 8, pass
7_img_10647.jpg, 7, 7, pass
5_img_29213.jpg, 5, 5, pass
8_img_30971.jpg, 8, 7, fail
9_img_39570.jpg, 9, 9, pass
1_img_25401.jpg, 1, 1, pass
4_img_38875.jpg, 4, 4, pass
8_img_9965.jpg, 8, 8, pass
4_img_22420.jpg, 4, 4, pass
7_img_34295.jpg, 7, 7, pass
0_img_41636.jpg, 0, 0, pass
4_img_19313.jpg, 4, 4, pass
0_img_29763.jpg, 0, 3, fail
6_img_4272.jpg, 6, 6, pass
2_img_17316.jpg, 2, 2, pass
8_img_35821.jpg, 8, 8, pass
2_img_7747.jpg, 2, 0, fail
0_img_14179.jpg, 0, 0, pass
9_img_28131.jpg, 9, 9, pass
7_img_19111.jpg, 7, 7, pass
8_img_22150.jpg, 8, 8, pass
5_img_24079.jpg, 5, 5, pass
7_img_9554.jpg, 7, 7, pass
0_img_25830.jpg, 0, 0, pass
1_img_13399.jpg, 1, 3, fail
6_img_15924.jpg, 6, 6, pass
8_img_5150.jpg, 8, 8, pass
4_img_21317.jpg, 4, 4, pass
2_img_5811.jpg, 2, 3, fail
8_img_32141.jpg, 8, 7, fail
5_img_35174.jpg, 5, 5, pass
9_img_25603.jpg, 9, 9, pass
3_img_29011.jpg, 3, 3, pass
6_img_2159.jpg, 6, 6, pass
3_img_7035.jpg, 3, 3, pass
9_img_26691.jpg, 9, 1, fail
1_img_40299.jpg, 1, 1, pass
8_img_39799.jpg, 8, 8, pass
0_img_16020.jpg, 0, 0, pass
6_img_3509.jpg, 6, 6, pass
8_img_20592.jpg, 8, 7, fail
2_img_12736.jpg, 2, 2, pass
1_img_10848.jpg, 1, 1, pass
1_img_24938.jpg, 1, 3, fail
8_img_5622.jpg, 8, 8, pass
5_img_24535.jpg, 5, 3, fail
3_img_17841.jpg, 3, 3, pass
9_img_13819.jpg, 9, 9, pass
3_img_13170.jpg, 3, 3, pass
3_img_31892.jpg, 3, 3, pass
4_img_28643.jpg, 4, 4, pass
5_img_665.jpg, 5, 5, pass
1_img_11997.jpg, 1, 1, pass
5_img_301.jpg, 5, 5, pass
0_img_16975.jpg, 0, 3, fail
1_img_39969.jpg, 1, 1, pass
9_img_7784.jpg, 9, 9, pass
4_img_37005.jpg, 4, 4, pass
4_img_27941.jpg, 4, 4, pass
1_img_37788.jpg, 1, 1, pass
8_img_6317.jpg, 8, 8, pass
7_img_28694.jpg, 7, 7, pass
5_img_26444.jpg, 5, 5, pass
5_img_6667.jpg, 5, 5, pass
8_img_8312.jpg, 8, 8, pass
4_img_31312.jpg, 4, 4, pass
2_img_16587.jpg, 2, 2, pass
4_img_38108.jpg, 4, 4, pass
3_img_23919.jpg, 3, 3, pass
1_img_23058.jpg, 1, 3, fail
7_img_11968.jpg, 7, 7, pass
1_img_41193.jpg, 1, 1, pass
3_img_28469.jpg, 3, 3, pass
7_img_25824.jpg, 7, 7, pass
9_img_41811.jpg, 9, 7, fail
6_img_2818.jpg, 6, 6, pass
2_img_9742.jpg, 2, 2, pass
4_img_38478.jpg, 4, 4, pass
0_img_28482.jpg, 0, 0, pass
5_img_39766.jpg, 5, 5, pass
9_img_25165.jpg, 9, 9, pass
3_img_3904.jpg, 3, 3, pass
2_img_24737.jpg, 2, 2, pass
9_img_20237.jpg, 9, 9, pass
9_img_1444.jpg, 9, 9, pass
4_img_29561.jpg, 4, 4, pass
7_img_12050.jpg, 7, 7, pass
4_img_13602.jpg, 4, 4, pass
3_img_39564.jpg, 3, 3, pass
6_img_31110.jpg, 6, 6, pass
0_img_30232.jpg, 0, 3, fail
5_img_7021.jpg, 5, 5, pass
8_img_33049.jpg, 8, 7, fail
3_img_22636.jpg, 3, 3, pass
5_img_20035.jpg, 5, 5, pass
5_img_21459.jpg, 5, 5, pass
2_img_31448.jpg, 2, 2, pass
9_img_15298.jpg, 9, 3, fail
1_img_11983.jpg, 1, 3, fail
2_img_27000.jpg, 2, 2, pass
8_img_37944.jpg, 8, 3, fail
0_img_23500.jpg, 0, 3, fail
6_img_30540.jpg, 6, 6, pass
8_img_40266.jpg, 8, 8, pass
2_img_21101.jpg, 2, 3, fail
9_img_26875.jpg, 9, 1, fail
0_img_5805.jpg, 0, 3, fail
3_img_17869.jpg, 3, 3, pass
5_img_36327.jpg, 5, 5, pass
2_img_473.jpg, 2, 0, fail
6_img_30554.jpg, 6, 6, pass
2_img_9959.jpg, 2, 0, fail
7_img_27558.jpg, 7, 7, pass
3_img_17464.jpg, 3, 3, pass
1_img_34530.jpg, 1, 1, pass
8_img_11773.jpg, 8, 8, pass
7_img_12911.jpg, 7, 7, pass
1_img_32814.jpg, 1, 1, pass
2_img_18582.jpg, 2, 2, pass
6_img_12087.jpg, 6, 6, pass
0_img_11217.jpg, 0, 0, pass
2_img_10323.jpg, 2, 2, pass
1_img_34281.jpg, 1, 3, fail
9_img_18970.jpg, 9, 9, pass
0_img_32431.jpg, 0, 0, pass
